x,y,label
-252,-193,0
-250,-164,0
-233,-132,0
-222,-116,0
-207,-95,0
-154,-70,0
-95,-66,0
-55,-65,0
14,-65,0
54,-67,0
114,-75,0
154,-85,0
200,-73,0
255,-44,0
284,-10,0
294,11,0
-298,-11,1
-290,2,1
-257,16,1
-231,21,1
-219,23,1
-196,25,1
-179,24,1
-97,16,1
-85,16,1
-18,28,1
-5,36,1
52,39,1
134,15,1
162,5,1
208,49,1
216,80,1
217,108,1
217,132,1
219,157,1
221,185,1
223,212,1
227,228,1
301,-69,0
282,-79,0
221,-98,0
150,-112,0
-32,-140,0
-134,-165,0
-193,-196,0
-205,-216,0
-213,-258,0
-123,-108,0
110,-193,0
295,-162,0
9,-166,0
-41,-193,0
-98,-226,0
-270,-67,1
-278,-49,1
-285,-35,1
-182,-16,1
-242,-25,1
-239,-47,1
-124,1,1
-77,5,1
-26,7,1
13,11,1
61,9,1
99,39,1
105,63,1
118,93,1
129,127,1
140,167,1
155,240,1
174,283,1
196,286,1
179,218,1
175,165,1
171,101,1
168,87,1
256,214,1
262,226,1
276,242,1
301,256,1
276,267,1
226,259,1
204,244,1
125,252,1
69,181,1
65,168,1
-14,114,1
-63,105,1
-115,106,1
-172,108,1
-243,112,1
-297,125,1
-276,166,1
-249,182,1
-141,165,1
-129,220,1
-104,219,1
-93,188,1
-103,157,1
-151,149,1
-181,165,1
-204,233,1
-242,250,1
-37,-232,0
-10,-231,0
92,-235,0
30,-259,0
-4,180,1
14,97,1
-6,88,1
13,125,1
-45,116,1
-129,72,1
-166,75,1
-268,52,1
-231,74,1
-217,104,1
-210,143,1
-181,210,1
-128,248,1
-87,266,1
-50,271,1
-20,274,1
30,274,1
52,269,1
98,248,1
106,230,1
91,205,1
7,168,1
-32,158,1
-71,80,1
-106,41,1
-211,-182,0
-220,-199,0
-244,-238,0
-259,-260,0
-148,-260,0
-125,-241,0
185,-234,0
258,-220,0
204,-168,0
83,-178,0
51,-193,0
-4,-205,0
-102,-167,0
-121,-198,0
-139,-212,0
-254,225,1
-284,221,1
-261,273,1
-233,287,1
-225,275,1
-199,279,1
-201,267,1
-165,283,1
-170,249,1
-151,275,1
-108,281,1
-132,279,1
-92,243,1
-74,240,1
-36,248,1
-48,227,1
-66,197,1
-68,176,1
-72,142,1
-91,129,1
-118,146,1
-141,127,1
-145,72,1
-148,54,1
-145,108,1
-173,139,1
-191,128,1
-199,175,1
-217,209,1
-294,292,1
-308,291,1
-310,271,1
-308,254,1
-308,235,1
-311,189,1
-311,179,1
-312,160,1
-313,148,1
-313,129,1
-313,105,1
-314,88,1
-316,69,1
-315,44,1
-311,18,1
-292,49,1
-291,67,1
-288,83,1
-258,124,1
-152,-124,0
-97,-133,0
-80,-119,0
-65,-104,0
-37,-95,0
5,-98,0
15,-105,0
29,-114,0
46,-123,0
67,-138,0
95,-149,0
106,-151,0
121,-154,0
141,-157,0
158,-151,0
224,-120,0
238,-117,0
254,-113,0
278,-108,0
299,-115,0
293,-131,0
270,-138,0
230,-144,0
203,-147,0
184,-128,0
181,-106,0
115,-97,0
61,-91,0
42,-85,0
128,63,1
154,49,1
23,84,1
-25,66,1
-57,52,1
-158,28,1
-192,0,1
-248,-5,1
-272,-11,1
-261,-32,1
-237,52,1
-178,57,1
-190,81,1
-213,57,1
-260,98,1
-260,72,1
-243,160,1
-229,141,1
-224,172,1
-284,202,1
-24,225,1
-4,237,1
24,213,1
33,199,1
48,166,1
55,143,1
58,114,1
57,98,1
59,85,1
70,97,1
85,159,1
93,170,1
139,211,1
170,205,1
113,187,1
111,151,1
95,105,1
172,137,1
154,120,1
143,85,1
167,64,1
184,39,1
193,171,1
193,197,1
146,269,1
96,284,1
89,269,1
77,251,1
62,217,1
34,242,1
0,259,1
13,259,1
0,221,1
-16,202,1
-154,203,1
-131,192,1
-118,169,1
-148,233,1
-250,208,1
-292,-240,0
-291,-214,0
-295,-180,0
-296,-154,0
-287,-134,0
-271,-122,0
-251,-106,0
-224,-83,0
-187,-75,0
-178,-95,0
-179,-124,0
-167,-136,0
-159,-145,0
-152,-171,0
-154,-203,0
-171,-237,0
-182,-260,0
-184,-273,0
-129,-266,0
-77,-267,0
-55,-265,0
-23,-264,0
17,-260,0
67,-263,0
120,-261,0
143,-260,0
185,-260,0
236,-260,0
262,-255,0
280,-223,0
282,-198,0
159,-203,0
123,-212,0
155,-220,0
220,-201,0
237,-184,0
257,-186,0
216,-222,0
175,-190,0
150,-169,0
125,-181,0
58,-156,0
28,-160,0
23,-186,0
23,-199,0
30,-218,0
50,-226,0
84,-215,0
57,-176,0
70,-191,0
-2,-140,0
-12,-124,0
-37,-121,0
-55,-131,0
-65,-153,0
-65,-176,0
-67,-203,0
-70,-229,0
-89,-245,0
-103,-263,0
-107,-277,0
-79,-289,0
-57,-291,0
-8,-284,0
17,-283,0
29,-283,0
43,-283,0
76,-286,0
94,-285,0
127,-287,0
155,-287,0
181,-285,0
200,-284,0
248,-282,0
267,-280,0
298,-244,0
302,-221,0
305,-193,0
302,-179,0
296,-297,0
-181,-292,0
-232,-291,0
-270,-289,0
-289,-278,0
-311,-253,0
-306,-217,0
-283,-186,0
-268,-163,0
-260,-137,0
-233,-155,0
-235,-178,0
-252,-212,0
-274,-238,0
-241,-271,0
-227,-230,0
-231,-194,0
-219,-216,0
-189,-219,0
-179,-186,0
95,-91,0
90,-126,0
117,-123,0
184,-57,0
223,-51,0
231,-72,0
236,-84,0
259,-77,0
276,-55,0
285,-46,0
